"Long","Lat","grupo","entidad","id"
-99.9786086719999,20.0732772440001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9784682219998,20.0740454430002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.979967301,20.0743342230001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.980817588,20.074458217,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.981309075,20.0745298780002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.982601824,20.074718375,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9831652349999,20.0748005270001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.983579055,20.074857633,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.984064529,20.0749246290001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9850207669999,20.0750386060002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.985788902,20.0751609820002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.986555421,20.075283083,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.986950259,20.075345988,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.987451049,20.0754257650001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.987856264,20.0754903090001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.987922441,20.075500854,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.988382164,20.0755740820001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9893080159999,20.075721564,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9902612569999,20.0758733960001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9922953979999,20.0761973820001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9928521949999,20.0762860630001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9933275449999,20.076361766,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.993958732,20.076462286,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.994883406,20.076609547,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.995183823,20.0766573880002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9955605639999,20.0767173840002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.995696873,20.076739096,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9958149549999,20.076757893,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9961425219999,20.0768100600002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9971759759999,20.0769746320001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.997687285,20.0770560460001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.998180417,20.0771345710002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.9992720979999,20.0773084040001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.999786751,20.0773903450001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-99.999938071,20.0774144360001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000053321,20.077432794,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000352336,20.077480392,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000490018,20.0772306530001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000518496,20.0771789940002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000638237,20.0769618100001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000811461,20.076647603,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.000984363,20.0763339840001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.001648772,20.0751288190001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.001874796,20.0747188280002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.001933668,20.074612046,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002430583,20.0737106630002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002667912,20.0732801730001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002793559,20.0730522520001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002877649,20.0728997210001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002912368,20.0728367490001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.002991181,20.0726937960001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.003041656,20.072602216,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.00339657,20.07195842,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.003729774,20.0707270090001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.003962889,20.0698654700001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.0040812,20.0694282620001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.004117121,20.0692954780002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.004253828,20.0688627810002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.004396216,20.0684121030002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.004536797,20.0679671590001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.00503836,20.0663795840001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.005057554,20.0663188430001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.005125776,20.0661029140002,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.005358202,20.0653672430001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
-100.00542033,20.0651705920001,"Amealco de Bonfil_1","Querétaro","Querétaro_Amealco de Bonfil_1"
